"total","car","public_trans","bus","subway","railroad","ferry","bike","walk","taxi","work_at_home"
3661,3435,12,12,0,0,0,0,55,15,144
1957,1718,36,36,0,0,0,32,103,0,68
931,810,0,0,0,0,0,0,0,30,91
2446,2070,0,0,0,0,0,111,110,0,155
2528,2050,5,5,0,0,0,0,74,0,399
2888,2631,10,10,0,0,0,0,23,59,165
917,843,0,0,0,0,0,0,11,28,35
2163,1938,0,0,0,0,0,18,114,11,82
2363,2176,0,0,0,0,0,70,53,0,64
1599,1422,18,18,0,0,0,3,16,17,123
3153,2925,0,0,0,0,0,0,11,10,207
1563,1377,1,1,0,0,0,25,11,9,140
3233,2988,0,0,0,0,0,38,46,12,149
2735,2581,21,21,0,0,0,0,30,6,97
2407,2169,45,45,0,0,0,42,42,32,77
1526,1302,0,0,0,0,0,11,23,0,190
1521,1287,0,0,0,0,0,25,65,31,113
1695,1484,0,0,0,0,0,17,127,25,42
1409,1334,0,0,0,0,0,0,64,0,11
2124,1936,0,0,0,0,0,0,82,8,98
1685,1381,4,4,0,0,0,32,121,16,131
723,605,0,0,0,0,0,0,10,16,92
1395,995,9,7,0,2,0,0,143,28,220
1474,792,23,23,0,0,0,61,431,53,114
2190,1755,81,75,0,6,0,143,167,14,30
1764,1375,25,25,0,0,0,28,141,33,162
1378,1255,0,0,0,0,0,41,43,13,26
1826,1590,23,23,0,0,0,0,45,40,128
2256,1935,25,25,0,0,0,66,129,46,55
1958,1583,81,81,0,0,0,68,139,10,77
2641,2173,91,91,0,0,0,56,267,11,43
1449,1058,56,56,0,0,0,90,115,65,65
2131,1798,36,36,0,0,0,40,93,20,144
1550,1292,12,12,0,0,0,87,107,0,52
2156,1879,20,20,0,0,0,0,145,21,91
2669,2453,71,71,0,0,0,0,0,5,140
2680,2440,69,69,0,0,0,0,16,65,90
1719,1589,47,47,0,0,0,25,0,0,58
2504,2337,13,13,0,0,0,16,83,22,33
2067,1773,51,51,0,0,0,40,62,75,66
3016,2675,37,37,0,0,0,38,143,95,28
3172,2922,63,63,0,0,0,0,111,12,64
2980,2773,3,3,0,0,0,38,0,17,149
3453,2669,210,210,0,0,0,104,336,0,134
2385,1949,127,127,0,0,0,57,153,12,87
2162,1787,79,79,0,0,0,12,156,50,78
2023,1845,18,18,0,0,0,22,32,32,74
2854,2646,11,11,0,0,0,0,77,7,113
3558,3193,112,112,0,0,0,49,13,16,175
1218,961,0,0,0,0,0,39,146,29,43
4039,3638,101,101,0,0,0,13,121,0,166
1028,941,11,11,0,0,0,19,48,0,9
2448,2185,76,76,0,0,0,0,77,0,110
987,861,22,22,0,0,0,16,10,18,60
3056,2722,6,6,0,0,0,65,79,27,157
1407,1317,23,23,0,0,0,0,28,0,39
3479,3255,34,19,0,0,0,19,62,37,72
2637,2426,73,73,0,0,0,28,5,10,95
1428,1294,0,0,0,0,0,0,19,0,115
3977,3591,35,35,0,0,0,43,32,35,241
1907,1671,0,0,0,0,0,42,87,51,56
765,683,0,0,0,0,0,0,4,6,72
3469,2977,18,18,0,0,0,19,83,52,320
