passage	phrase_text	phrase_gloss	head	attributive	#words_mother	#nouns_mother
Genesis 41:26	#B< PRT HVBT 	seven cow the good	#B< PRT 	HVBT 	2	2
Genesis 41:26	#B< H#BLJM HVBT 	seven the grain the good	H#BLJM 	HVBT 	2	1
Genesis 41:27	#B< HPRWT HRQWT WHR<T 	seven the cow the thin and the evil	#B< HPRWT 	HRQWT WHR<T 	3	2
Genesis 41:27	#B< H#BLJM HRQWT #DPWT HQDJM 	seven the grain the empty scorch the east	#B< H#BLJM 	HRQWT #DPWT HQDJM 	3	2
Genesis 41:29	#B< GDWL 	satiety great	#B< 	GDWL 	1	1
Genesis 41:33	>J# NBWN WXKM 	man understand and wise	>J# 	NBWN WXKM 	1	1
Genesis 41:35	>T&KL&>KL H#NJM HVBT HB>T H>LH 	<object marker> whole food the year the good the come the these	H#NJM 	HVBT 	2	1
Genesis 41:35	>T&KL&>KL H#NJM HVBT HB>T H>LH 	<object marker> whole food the year the good the come the these	H#NJM HVBT 	HB>T 	4	1
Genesis 42:15	>XJKM HQVN 	brother the small	>XJKM 	HQVN 	1	1
Genesis 42:18	BJWM H#LJ#J 	in the day the third	JWM 	H#LJ#J 	2	1
Genesis 42:20	>T&>XJKM HQVN 	<object marker> brother the small	>XJKM 	HQVN 	1	1
Genesis 42:34	>T&>XJKM HQVN 	<object marker> brother the small	>XJKM 	HQVN 	1	1
Genesis 43:14	>T&>XJKM >XR W>T&BNJMJN 	<object marker> brother other and <object marker> Benjamin	>XJKM 	>XR 	1	1
Genesis 43:22	KSP >XR 	silver other	KSP 	>XR 	1	1
Genesis 43:27	>BJKM HZQN 	father the old	>BJKM 	HZQN 	1	1
Genesis 43:29	>XJKM HQVN 	brother the small	>XJKM 	HQVN 	1	1
Genesis 44:20	>B ZQN WJLD ZQNJM QVN 	father old and boy old age small	>B 	ZQN 	1	1
Genesis 44:20	>B ZQN WJLD ZQNJM QVN 	father old and boy old age small	JLD ZQNJM 	QVN 	2	2
Genesis 44:23	>XJKM HQVN 	brother the small	>XJKM 	HQVN 	1	1
Genesis 44:26	>XJNW HQVN 	brother the small	>XJNW 	HQVN 	1	1
Genesis 44:26	>XJNW HQVN 	brother the small	>XJNW 	HQVN 	1	1
Genesis 45:7	LPLJVH GDLH00 	to escape great	PLJVH 	GDLH00 	1	1
Genesis 46:3	LGWJ GDWL 	to people great	GWJ 	GDWL 	1	1
Genesis 47:18	B#NH H#NJT 	in the year the second	#NH 	H#NJT 	2	1
Genesis 48:16	MKL&R< 	from whole evil	KL&	R< 	1	1
Genesis 48:19	>XJW HQVN 	brother the small	>XJW 	HQVN 	1	1
Genesis 49:21	>JLH #LXH 	doe send	>JLH 	#LXH 	1	1
Genesis 50:10	MSPD GDWL WKBD M>D 	wailing great and heavy might	MSPD 	GDWL WKBD M>D 	1	1
Genesis 50:11	>BL&KBD 	mourning rites heavy	>BL&	KBD 	1	1
Genesis 50:20	<M&RB00 	people much	<M&	RB00 	1	1
Exodus 1:8	MLK&XD# 	king new	MLK&	XD# 	1	1
Exodus 1:14	B<BDH Q#H BXMR WBLBNJM WBKL&<BDH B#DH 	in work hard in clay and in brick and in whole work in the open field	<BDH 	Q#H 	1	1
Exodus 1:15	LMJLDT H<BRJT 	to the bear the Hebrew	MJLDT 	H<BRJT 	2	0
Exodus 1:19	KN#JM HMYRJT 	as the woman the Egyptian	N#JM 	HMYRJT 	2	1
Exodus 1:22	KL&HBN HJLWD 	whole the son the new-born	HBN 	HJLWD 	2	1
Exodus 2:6	N<R BKH 	boy weep	N<R 	BKH 	1	1
Exodus 2:11	>J# MYRJ 	man Egyptian	>J# 	MYRJ 	1	1
Exodus 2:11	>J#&<BRJ 	man Hebrew	>J#&	<BRJ 	1	1
Exodus 2:13	BJWM H#NJ 	in the day the second	JWM 	H#NJ 	2	1
Exodus 2:13	#NJ&>N#JM <BRJM 	two man Hebrew	>N#JM 	<BRJM 	1	1
Exodus 2:19	>J# MYRJ 	man Egyptian	>J# 	MYRJ 	1	1
Exodus 2:22	B>RY NKRJH00 	in earth foreign	>RY 	NKRJH00 	1	1
