passage	phrase_node	phrase_text	phrase_gloss	phrase_function	lexeme	occ_text	occ_node
Genesis 21:12	610816	אֱלֹהִ֜ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֜ים 	9785
Genesis 21:17	610892	אֱלֹהִים֮ 	god(s)	Subj	>LHJM/	אֱלֹהִים֮ 	9904
Genesis 21:17	610896	מַלְאַ֨ךְ אֱלֹהִ֤ים ׀ 	messenger god(s)	Subj	>LHJM/	אֱלֹהִ֤ים ׀ 	9912
Genesis 21:17	610909	אֱלֹהִ֛ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֛ים 	9928
Genesis 21:19	610926	אֱלֹהִים֙ 	god(s)	Subj	>LHJM/	אֱלֹהִים֙ 	9954
Genesis 21:20	610942	אֱלֹהִ֛ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֛ים 	9976
Genesis 21:22	610969	אֱלֹהִ֣ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֣ים 	10022
Genesis 21:23	610979	בֵֽאלֹהִים֙ 	in god(s)	Cmpl	>LHJM/	אלֹהִים֙ 	10034
Genesis 22:1	611097	הָ֣אֱלֹהִ֔ים 	the god(s)	Subj	>LHJM/	אֱלֹהִ֔ים 	10229
Genesis 22:3	611148	הָאֱלֹהִֽים׃ 	the god(s)	Subj	>LHJM/	אֱלֹהִֽים׃ 	10306
Genesis 22:8	611211	אֱלֹהִ֞ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֞ים 	10405
Genesis 22:9	611226	הָאֱלֹהִים֒ 	the god(s)	Subj	>LHJM/	אֱלֹהִים֒ 	10426
Genesis 22:12	611278	יְרֵ֤א אֱלֹהִים֙ 	afraid god(s)	PreC	>LHJM/	אֱלֹהִים֙ 	10502
Genesis 23:6	611451	נְשִׂ֨יא אֱלֹהִ֤ים 	chief god(s)	PreC	>LHJM/	אֱלֹהִ֤ים 	10811
Genesis 24:3	611638	בַּֽיהוָה֙ אֱלֹהֵ֣י הַשָּׁמַ֔יִם וֵֽאלֹהֵ֖י הָאָ֑רֶץ 	in YHWH god(s) the heavens and god(s) the earth	Cmpl	>LHJM/	אֱלֹהֵ֣י 	11144
Genesis 24:3	611638	בַּֽיהוָה֙ אֱלֹהֵ֣י הַשָּׁמַ֔יִם וֵֽאלֹהֵ֖י הָאָ֑רֶץ 	in YHWH god(s) the heavens and god(s) the earth	Cmpl	>LHJM/	אלֹהֵ֖י 	11148
Genesis 24:7	611685	יְהוָ֣ה ׀ אֱלֹהֵ֣י הַשָּׁמַ֗יִם 	YHWH god(s) the heavens	Frnt	>LHJM/	אֱלֹהֵ֣י 	11222
Genesis 24:12	611756	יְהוָ֗ה אֱלֹהֵי֙ אֲדֹנִ֣י אַבְרָהָ֔ם 	YHWH god(s) lord Abraham	Voct	>LHJM/	אֱלֹהֵי֙ 	11352
