passage	phrase_node	phrase_text	phrase_gloss	phrase_function	lexeme	occ_text	occ_node
1_Samuel 5:11	686858	>T&>RWN >LHJ J#R>L 	<object marker> ark god(s) Israel	Objc	>LHJM/	>LHJ 	144068
1_Samuel 5:11	686872	JD H>LHJM 	hand the god(s)	Subj	>LHJM/	>LHJM 	144093
1_Samuel 6:3	686906	>T&>RWN >LHJ J#R>L 	<object marker> ark god(s) Israel	Objc	>LHJM/	>LHJ 	144150
1_Samuel 6:5	686948	L>LHJ J#R>L 	to god(s) Israel	Cmpl	>LHJM/	>LHJ 	144214
1_Samuel 6:5	686953	M<LJKM WM<L >LHJKM WM<L >RYKM00 	from upon and from upon god(s) and from upon earth	Cmpl	>LHJM/	>LHJKM 	144226
1_Samuel 6:20	687184	LPNJ JHWH H>LHJM HQDW# HZH 	to face YHWH the god(s) the holy the this	Cmpl	>LHJM/	>LHJM 	144638
1_Samuel 7:3	687243	>T&>LHJ HNKR WH<#TRWT 	<object marker> god(s) the foreigner and the idol	Objc	>LHJM/	>LHJ 	144737
1_Samuel 7:8	687321	>L&JHWH >LHJNW 	to YHWH god(s)	Cmpl	>LHJM/	>LHJNW 	144862
1_Samuel 8:8	687553	>LHJM >XRJM 	god(s) other	Objc	>LHJM/	>LHJM 	145221
1_Samuel 9:6	687788	>J#&>LHJM 	man god(s)	Subj	>LHJM/	>LHJM 	145609
1_Samuel 9:7	687827	L>J# H>LHJM 	to man the god(s)	Cmpl	>LHJM/	>LHJM 	145663
1_Samuel 9:8	687843	L>J# H>LHJM 	to man the god(s)	Cmpl	>LHJM/	>LHJM 	145688
1_Samuel 9:9	687855	>LHJM 	god(s)	Objc	>LHJM/	>LHJM 	145706
1_Samuel 9:10	687879	>J# H>LHJM00 	man the god(s)	Subj	>LHJM/	>LHJM00 	145742
1_Samuel 9:27	688180	>T&DBR >LHJM00 	<object marker> word god(s)	Objc	>LHJM/	>LHJM00 	146199
1_Samuel 10:3	688237	>L&H>LHJM 	to the god(s)	Cmpl	>LHJM/	>LHJM 	146288
1_Samuel 10:5	688263	GB<T H>LHJM 	hill the god(s)	Cmpl	>LHJM/	>LHJM 	146324
1_Samuel 10:7	688304	H>LHJM 	the god(s)	Subj	>LHJM/	>LHJM 	146386
