clnode,chapter,verse,subj_n,subj,obj_n,obj,obj_n2,obj2,cmpl_n,cmpl,cmpl_n2,cmpl2
489484,10,9,_,_,_,_,_,_,789777,B_RCTW,_,_
489487,10,10,789783,XL_K>JM,_,_,_,_,_,_,_,_
489488,10,11,_,_,_,_,_,_,789785,B_LBW,_,_
489489,10,11,789787,>L,_,_,_,_,_,_,_,_
489490,10,11,_,_,789789,PNJW,_,_,_,_,_,_
489494,10,12,_,_,789796,JDK,_,_,_,_,_,_
489495,10,12,_,_,789799,<NJJM,_,_,_,_,_,_
489496,10,13,789802,RC<,789803,>LHJM,_,_,_,_,_,_
489497,10,13,_,_,_,_,_,_,789805,B_LBW,_,_
489500,10,14,789810,>TH,789811,<ML_W_K<S,_,_,_,_,_,_
489501,10,14,_,_,_,_,_,_,789814,B_JDK,_,_
489502,10,14,789817,XLKH,_,_,_,_,789815,<LJK,_,_
489503,10,14,789819,>TH,789818,JTWM,_,_,_,_,_,_
489504,10,15,_,_,789823,ZRW<_RC<,_,_,_,_,_,_
489506,10,15,_,_,789827,RC<W,_,_,_,_,_,_
489508,10,16,789830,JHWH,_,_,_,_,_,_,_,_
489509,10,16,789833,GWJM,_,_,_,_,789834,M_>RYW,_,_
489510,10,17,_,_,789835,T>WT_<NWJM,_,_,_,_,_,_
489512,10,17,_,_,789839,LBM,_,_,_,_,_,_
489513,10,17,_,_,789841,>ZNK,_,_,_,_,_,_
489514,10,18,_,_,789843,JTWM_W_DK,_,_,_,_,_,_
489515,10,18,789848,>NWC_MN_H_>RY,_,_,_,_,_,_,_,_
489519,11,1,_,_,_,_,_,_,789851,B_JHWH,_,_
489520,11,1,_,_,_,_,_,_,789855,L_NPCJ,_,_
489521,11,1,_,_,_,_,_,_,789857,HRKM,_,_
489523,11,2,789861,H_RC<JM,789863,QCT,_,_,_,_,_,_
489524,11,2,_,_,789865,XYM,_,_,789866,<L_JTR,_,_
489525,11,2,_,_,_,_,_,_,789869,L_JCRJ_LB,_,_
489526,11,3,789871,H_CTWT,_,_,_,_,_,_,_,_
489528,11,3,_,_,789874,MH,_,_,_,_,_,_
489529,11,4,789876,JHWH,_,_,_,_,_,_,_,_
489531,11,4,789880,KS>W,_,_,_,_,_,_,_,_
489532,11,4,789881,<JNJW,_,_,_,_,_,_,_,_
489533,11,4,789883,<P<PJW,789885,BNJ_>DM,_,_,_,_,_,_
489534,11,5,789886,JHWH,789887,YDJQ,_,_,_,_,_,_
489535,11,5,789892,NPCW,789890,RC<_W_>HB_XMS,_,_,_,_,_,_
489536,11,6,_,_,789895,PXJM_>C_W_GPRJT,_,_,789894,<L_RC<JM,_,_
489537,11,6,789898,MNT_KWSM,_,_,_,_,_,_,_,_
489538,11,7,789901,JHWH,_,_,_,_,_,_,_,_
489539,11,7,_,_,789902,YDQWT,_,_,_,_,_,_
489540,11,7,789906,PNJMW,789904,JCR,_,_,_,_,_,_
489546,12,2,789914,XSJD,_,_,_,_,_,_,_,_
489547,12,2,789917,>MWNJM,_,_,_,_,789918,M_BNJ_>DM,_,_
489548,12,3,_,_,789919,CW>,_,_,_,_,_,_
489549,12,3,789921,>JC,_,_,_,_,789922,>T_R<HW,_,_
489550,12,3,_,_,_,_,_,_,789924,B_LB_W_LB,_,_
489551,12,4,789927,JHWH,789928,KL_FPTJ_XLQWT,_,_,_,_,_,_
489552,12,4,_,_,789929,LCWN,_,_,_,_,_,_
489553,12,4,_,_,789931,GDLWT,_,_,_,_,_,_
489556,12,5,789936,FPTJNW,_,_,_,_,_,_,_,_
489557,12,5,789938,MJ,_,_,_,_,789940,LNW,_,_
489559,12,6,789945,JHWH,_,_,_,_,_,_,_,_
489560,12,6,_,_,_,_,_,_,789947,B_JC<,_,_
489561,12,6,_,_,_,_,_,_,789949,LW,_,_
489562,12,7,789950,>MRWT_JHWH,_,_,_,_,_,_,_,_
489566,12,8,789958,>TH,_,_,_,_,_,_,_,_
489568,12,8,_,_,_,_,_,_,789962,MN_H_DWR,_,_
489570,12,9,789966,RC<JM,_,_,_,_,_,_,_,_
489571,12,9,789969,ZLWT,_,_,_,_,_,_,_,_
489576,13,2,_,_,789979,>T_PNJK,_,_,789980,MMNJ,_,_
489577,13,3,_,_,789983,<YWT,_,_,789984,B_NPCJ,_,_
489578,13,3,_,_,789985,JGWN,_,_,789986,B_LBBJ,_,_
489579,13,3,789990,>JBJ,_,_,_,_,789991,<LJ,_,_
489583,13,4,_,_,789996,<JNJ,_,_,_,_,_,_
489584,13,4,_,_,789999,H_MWT,_,_,_,_,_,_
489585,13,5,790002,>JBJ,_,_,_,_,_,_,_,_
489587,13,5,790004,YRJ,_,_,_,_,_,_,_,_
489589,13,6,790009,>NJ,_,_,_,_,790010,B_XSDK,_,_
489590,13,6,790013,LBJ,_,_,_,_,790014,B_JCW<TK,_,_
489591,13,6,_,_,_,_,_,_,790016,L_JHWH,_,_
489592,13,6,_,_,_,_,_,_,790019,<LJ,_,_
489595,14,1,790023,NBL,_,_,_,_,790024,B_LBW,_,_
489598,14,1,_,_,790029,<LJLH,_,_,_,_,_,_
489600,14,2,790032,JHWH,_,_,_,_,790033,M_CMJM,790035,<L_BNJ_>DM
489603,14,2,_,_,790041,>T_>LHJM,_,_,_,_,_,_
489604,14,3,790042,H_KL,_,_,_,_,_,_,_,_
489608,14,4,790053,KL_P<LJ_>WN,_,_,_,_,_,_,_,_
489609,14,4,790054,>KLJ_<MJ,790056,LXM,_,_,_,_,_,_
489610,14,4,_,_,790057,JHWH,_,_,_,_,_,_
489611,14,5,_,_,790062,PXD,_,_,_,_,_,_
489612,14,5,790064,>LHJM,_,_,_,_,_,_,_,_
489613,14,6,_,_,790066,<YT_<NJ,_,_,_,_,_,_
489614,14,6,790069,JHWH,_,_,_,_,_,_,_,_
489615,14,7,790071,MJ,_,_,_,_,_,_,_,_
489616,14,7,790074,JCW<T_JFR>L,_,_,_,_,_,_,_,_
489617,14,7,790076,JHWH,790077,CBWT_<MW,_,_,_,_,_,_
489618,14,7,790079,J<QB,_,_,_,_,_,_,_,_
489619,14,7,790081,JFR>L,_,_,_,_,_,_,_,_
489622,15,1,790084,MJ,_,_,_,_,790086,B_>HLK,_,_
489623,15,1,790087,MJ,_,_,_,_,790089,B_HR_QDCK,_,_
